#Position (bp)	Coverage
8.853069015E8	0.0
8.930388395E8	2.5866736127475415E-5
9.007707775E8	0.0
9.085027155E8	1.2933368063737708E-5
9.162346535E8	0.0
9.239665915E8	1.280403438310033E-5
9.316985295E8	0.0
9.394304675E8	3.8282769468663615E-5
9.471624055E8	0.0
9.548943435E8	2.1249523728721054E-4
9.626262815E8	0.001067002865258361
9.703582195E8	0.0
9.780901575E8	2.5737402446838036E-5
9.858220955E8	0.0
9.935540335E8	1.2933368063737708E-5
1.0012859715E9	0.0
1.0090179095E9	1.280403438310033E-5
1.0167498475E9	6.466684031868854E-5
1.0244817855E9	0.0
1.0322137235E9	5.900202510677142E-4
1.0399456615E9	0.0
1.0476775995E9	2.5866736127475415E-5
1.0554095375E9	4.8629463919653776E-5
1.0602369155E9	1.0245379437887517E-4
1.0641028845E9	0.0
1.0708734135E9	1.3528302994669642E-4
1.0786053515E9	0.0
1.0863372895E9	3.854143682993837E-5
1.0940692275E9	8.367889137238297E-4
1.1018011655E9	3.2811954777702565E-4
1.1095331035E9	1.2933368063737708E-5
1.1172650415E9	1.2933368063737708E-5
1.1249969795E9	0.0
1.1327289175E9	1.7110845948324987E-4
1.1404608555E9	1.2933368063737708E-5
1.1481927935E9	0.0
1.1559247315E9	0.0
1.1636566695E9	1.2933368063737708E-5
1.1713886075E9	0.0016152483374802023
1.1791205455E9	2.7535140607697577E-4
1.1868524835E9	0.0
1.1945844215E9	1.2933368063737708E-5
1.2023163595E9	0.0
1.2100482975E9	0.004150188477972793
1.2177802355E9	0.0
1.2255121735E9	0.0
1.230691223E9	0.0
1.234557192E9	0.0
1.2409760495E9	0.002803307527815148
1.2487079875E9	1.2674700702462954E-5
1.2564399255E9	2.5866736127475415E-5
1.2641718635E9	1.787391466408551E-4
1.2719038015E9	2.5737402446838036E-5
1.2796357395E9	1.506737379425443E-4
1.2873676775E9	1.280403438310033E-5
1.2950996155E9	1.280403438310033E-5
1.3028315535E9	6.402017191550165E-5
1.3105634915E9	2.0667522165852855E-4
1.3182954295E9	0.0
1.3260273675E9	6.867618441844723E-4
1.3337593055E9	5.19274727759069E-4
1.3414912435E9	1.2933368063737708E-5
1.3492231815E9	0.0
1.3569551195E9	5.160413857431345E-5
1.3646870575E9	2.5866736127475415E-5
1.3724189955E9	8.678289970768001E-4
1.3801509335E9	1.060536181226492E-4
1.3876835895E9	2.7136213153727056E-5
1.3915495585E9	0.0
1.3956148095E9	1.2933368063737708E-5
1.4033467475E9	0.0
1.4110786855E9	0.0
1.4188106235E9	7.78976758478922E-4
1.4265425615E9	4.61333238833524E-4
1.4342744995E9	0.0
1.4420064375E9	1.1821098410256265E-4
1.4497383755E9	6.738284761207345E-5
1.4574703135E9	1.082522906934846E-4
1.4652022515E9	0.0017895901389793866
1.4729341895E9	1.280403438310033E-5
1.4806661275E9	1.2933368063737708E-5
1.4883980655E9	0.0010707535419968448
1.4961300035E9	0.0037783541461403336
1.5038619415E9	2.5866736127475415E-5
1.5115938795E9	1.280403438310033E-5
1.5193258175E9	1.280403438310033E-5
1.5270577555E9	1.280403438310033E-5
1.5337063185E9	2.521028939184085E-4
1.5375722875E9	0.0011436483212184146
1.5425216315E9	0.009699120712038819
1.5502535695E9	0.0
1.5579855075E9	1.1264963583515543E-4
1.5657174455E9	0.0
1.5734493835E9	7.536273570739962E-4
1.5811813215E9	0.0
1.5889132595E9	0.0
1.5966451975E9	0.0
1.6043771355E9	1.2933368063737708E-5
1.6121090735E9	0.0
1.6198410115E9	1.985271997783738E-4
1.6275729495E9	2.5866736127475415E-5
1.6353048875E9	0.0
1.6430368255E9	0.0
1.6507687635E9	1.0631228548392396E-4
1.6585007015E9	0.004828672966596473
1.6662326395E9	0.0012616500546176134
1.672491119E9	5.617530205196591E-4
1.676357088E9	3.3933768748831406E-5
1.6816965155E9	0.0012044845677758927
1.6894284535E9	2.5737402446838036E-5
1.6971603915E9	0.0
1.7048923295E9	2.5737402446838036E-5
1.7126242675E9	0.001281438107755132
1.7203562055E9	1.2933368063737708E-5
1.7280881435E9	1.2933368063737708E-5
1.7358200815E9	0.0
1.7435520195E9	5.0569469129214435E-5
1.7512839575E9	4.2343847040677256E-4
1.7590158955E9	1.358003646692459E-4
1.7667478335E9	3.867077051057575E-5
1.7744797715E9	5.13454712130387E-5
1.7822117095E9	3.4208758528586234E-4
1.7899436475E9	1.2933368063737708E-5
1.7976755855E9	1.218323271604092E-4
1.805111303E9	1.3866523089791899E-5
1.808977272E9	0.0
1.8131394615E9	0.0025856389433024426
1.8208713995E9	0.0
1.8286033375E9	1.060536181226492E-5
1.8363352755E9	0.0
1.8440672135E9	2.5866736127475415E-5
1.8517991515E9	1.280403438310033E-5
1.8595310895E9	0.0
1.8672630275E9	1.4136171293665313E-4
1.8749949655E9	1.8261915705997643E-4
1.8827269035E9	2.885434415019882E-4
1.8904588415E9	1.2933368063737708E-5
1.8981907795E9	0.0012946301431801446
1.9059227175E9	0.0
1.9136546555E9	0.003261536758313375
1.9213865935E9	4.1761845477809054E-4
1.9291185315E9	3.7480900648711877E-4
1.9368504695E9	1.647711091320184E-4
1.942242056E9	6.554722923668613E-5
1.946108025E9	6.366565022390867E-5
1.9523143455E9	7.410819900521707E-5
1.9600462835E9	1.630897712837325E-4
1.9677782215E9	0.0
1.9755101595E9	1.280403438310033E-5
1.9832420975E9	0.0010125533857100251
1.9909740355E9	1.2687634070526692E-4
1.9987059735E9	7.219406053178388E-4
2.0064379115E9	1.2933368063737708E-5
2.0141698495E9	0.0017912714768276725
2.0219017875E9	5.082813649048919E-5
2.0296337255E9	0.0
2.0373656635E9	1.280403438310033E-5
2.0450976015E9	0.0011460257441277982
2.0528295395E9	9.751759520058231E-5
2.0605614775E9	6.13300313582442E-4
2.0682934155E9	2.9074211407282364E-4
2.0746011835E9	2.047670590413052E-5
2.0784671525E9	0.0
2.0837572915E9	0.0
2.0914892295E9	0.0
2.0992211675E9	0.0
2.1069531055E9	0.0
2.1146850435E9	0.0
2.1224169815E9	2.560806876620066E-5
2.1301489195E9	1.2933368063737708E-5
2.1378808575E9	0.0
2.1456127955E9	0.0
2.1533447335E9	0.0
2.1610766715E9	0.0
2.1688086095E9	0.0
2.1765405475E9	0.004523962815014813
2.1842724855E9	9.656052596386572E-4
2.1897728825E9	3.059174218748088E-5
2.1936388515E9	0.0
2.1997363615E9	0.0
2.2074682995E9	0.0
2.2152002375E9	2.2762727792178364E-5
2.2229321755E9	0.0
2.2306641135E9	1.2933368063737708E-5
2.2383960515E9	3.560556227946991E-4
2.2461279895E9	2.5866736127475415E-5
2.2538599275E9	0.0
2.2615918655E9	2.4560465953037906E-4
2.2693238035E9	2.0098453971048396E-4
2.2770557415E9	1.0915762645794625E-4
2.2847876795E9	8.799863630567136E-4
2.2925196175E9	1.5196707474891805E-4
2.2974183075E9	0.0
2.3012842765E9	0.0
2.3079834935E9	0.0
2.3157154315E9	1.280403438310033E-5
2.3234473695E9	1.2545367021825576E-4
2.3311793075E9	0.0
2.3389112455E9	1.2480700181506887E-4
2.3466431835E9	0.0010532934951107988
2.3543751215E9	2.401726449436092E-4
2.3621070595E9	6.910298556455057E-4
2.3698389975E9	0.0
2.3775709355E9	0.0
2.3853028735E9	1.2933368063737708E-5
2.3930348115E9	3.0315814741401186E-4
2.398671499E9	0.0
2.402537468E9	0.0012692993033529881
2.4084986875E9	3.970543995567476E-4
2.4162306255E9	8.563182995000736E-4
2.4239625635E9	0.0014949680144874416
2.4316945015E9	2.148232435386833E-4
2.4394264395E9	0.0
2.4471583775E9	0.0
2.4548903155E9	0.003907946494138986
2.4626222535E9	0.0
2.4703541915E9	1.0851095805475936E-4
2.4780861295E9	1.782218119183056E-4
2.4858180675E9	6.427883927677641E-5
2.4902322995E9	0.0
2.4940982685E9	1.651743704837017E-4
2.5012819435E9	4.048144203949903E-5
2.5090138815E9	0.00339837179242772
2.5167458195E9	2.3538729876002627E-5
2.5244777575E9	0.0026360790787510195
2.5322096955E9	3.339395634057076E-4
2.5399416335E9	6.311483615104001E-5
2.5476735715E9	2.560806876620066E-5
2.5554055095E9	0.0017796314455703086
2.5631374475E9	2.1585791298378234E-4
2.57052071E9	0.0019955684676300116
2.574386679E9	1.433998087046552E-4
2.5786013235E9	2.5478735085563283E-5
2.5863332615E9	5.593681687566559E-4
2.5940651995E9	1.280403438310033E-5
2.6017971375E9	0.0
2.6095290755E9	2.5866736127475415E-5
2.6172610135E9	0.0
2.6249929515E9	0.0019522919092212069
2.6327248895E9	2.5737402446838036E-5
2.6404568275E9	0.0
2.6481887655E9	1.2933368063737708E-5
2.6532330115E9	4.243484341967126E-5
2.6570989805E9	2.582141108430579E-4
2.6636526415E9	7.100419066992001E-5
2.6713845795E9	0.0013279982327845878
2.6791165175E9	0.0
2.6868484555E9	1.2933368063737708E-5
2.6945803935E9	1.2933368063737708E-5
2.7023123315E9	0.0011032162958368264
2.7096036025E9	2.8610615939849975E-5
2.7134695715E9	0.0
2.7177762075E9	0.0
2.7255081455E9	0.0
2.7332400835E9	2.5866736127475415E-5
2.7409720215E9	1.2933368063737708E-5
2.7487039595E9	0.0013127368584693773
2.7564358975E9	0.0
2.7641678355E9	1.2933368063737708E-5
2.7718997735E9	1.0424294659372593E-4
2.776619407E9	7.192521183673445E-4
2.780485376E9	0.0
2.7873636495E9	1.8908584109184528E-4
2.7950955875E9	1.2933368063737708E-5
2.8028275255E9	0.0
2.8105594635E9	1.280403438310033E-5
2.8182914015E9	3.087194956814191E-4
2.8231702125E9	1.4760446347998997E-4
2.8270361815E9	0.0
2.8337552775E9	0.0
2.8414872155E9	3.8282769468663615E-5
2.8492191535E9	2.560806876620066E-5
2.8569510915E9	0.0014436225432744028
2.8646830295E9	3.0496881894293514E-4
2.8717752605E9	7.826394756532482E-5
2.8756412295E9	0.0
2.8801469055E9	0.0
2.8878788435E9	0.001644607082984887
2.8956107815E9	0.0
2.9033427195E9	0.0
2.9110746575E9	0.0
2.9188065955E9	1.2933368063737708E-5
2.9265385335E9	2.5297667932670955E-4
2.9342704715E9	2.418539827918951E-5
2.9420024095E9	0.0
2.9497343475E9	2.1973792340290363E-4
2.9574662855E9	1.1252030215451806E-5
2.9651982235E9	0.0
2.9729301615E9	0.0
2.9806620995E9	6.664564563244041E-4
2.9883940375E9	1.280403438310033E-5
2.9961259755E9	0.0
3.0038579135E9	0.0
3.0115898515E9	2.5737402446838036E-5
3.0193217895E9	0.0
3.0270537275E9	1.280403438310033E-5
3.030981057E9	0.0
3.034847026E9	0.0
3.0425176035E9	0.0
3.0502495415E9	0.0
3.0579814795E9	0.0
3.0657134175E9	0.0
3.0734453555E9	0.0
3.0811772935E9	0.0
3.0866565475E9	0.0
3.088278117E9	0.23079244372020039
3.0883778495E9	5.467588137520777E-4
3.088551417E9	0.0
3.0887023955E9	0.0
3.0888595585E9	0.0
3.089028436E9	0.0
3.0891986085E9	0.0
3.0893691085E9	0.0018479376027490388
3.089539856E9	0.0
3.0896372065E9	0.0
