Submitter	bases	rel_bases
Department of Economic Development, Jobs, Transpor	1.98646297751e+12	0.000166952021546
NHGRI-phs000909	1.98458423071e+12	0.000166794122517
ncbi	1.98329542509e+12	0.000166685805016
MMRI	1.97631561524e+12	0.000166099187809
Yale School of Medicine	1.95784157549e+12	0.000164546539551
UCD-100K	1.95489964669e+12	0.000164299285529
Catholic University of KOREA	1.93644476642e+12	0.000162748247527
Virginia Tech	1.92199653741e+12	0.000161533948006
Colorado State University	1.91853013286e+12	0.000161242614488
ucsf-phs000941	1.91623517972e+12	0.000161049735452
IMPERIAL COLLEGE LONDON	1.89843022446e+12	0.000159553320312
ED	1.89837411137e+12	0.000159548604294
cchmc-phs001011	1.86626260542e+12	0.00015684979697
Center for Geogenetics, Natural History Museum of	1.85395461435e+12	0.000155815373468
Uppsala university	1.84306298726e+12	0.000154899988092
Donghua University	1.84209545969e+12	0.000154818672363
PINEREFSEQ	1.8381342646e+12	0.000154485754238
BRAEMBL	1.83732167845e+12	0.000154417460542
Cancer Science Institute of Singapore	1.83708301699e+12	0.00015439740227
NIAS	1.83133170276e+12	0.000153914033817
University of Kansas	1.82756712109e+12	0.000153597640042
The Genome Analysis Centre	1.82492317247e+12	0.000153375429726
Fred Hutchinson Cancer Research Center	1.81877380415e+12	0.000152858606869
nci	1.81406684165e+12	0.000152463010819
MGH-phs000371	1.81223084094e+12	0.00015230870438
Wellcome Trust Centre for Human Genetics	1.81110736375e+12	0.000152214281886
ICL-MRC	1.80896933456e+12	0.000152034591502
Institut Curie	1.80834026337e+12	0.000151981721296
North Carolina State University	1.80551907575e+12	0.000151744614951
University of California, Irvine	1.80082088473e+12	0.0001513497561
CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF	1.79515981877e+12	0.000150873972551
CU-ICG	1.79420614925e+12	0.000150793821521
IBSC	1.77980984541e+12	0.000149583886044
CAAS	1.77588387589e+12	0.000149253928449
ROSLIN	1.75048422571e+12	0.000147119218166
Princeton University	1.74735625397e+12	0.000146856328189
CHOP-phs000935	1.7305856116e+12	0.000145446841741
Plant Energy Biology	1.70390381355e+12	0.000143204373508
The Scripps Research Institute	1.70163053584e+12	0.00014301331618
University of Puerto Rico	1.69550424665e+12	0.000142498433006
None	1.68944480526e+12	0.000141989168045
Los Alamos National Laboratory	1.68357148196e+12	0.000141495545356
Genome Institute of Singapore	1.67754419864e+12	0.000140988983116
JiHyun_Lee	1.67079758131e+12	0.000140421964543
Griffith University	1.67063206679e+12	0.000140408053897
Institutes for Advanced Interdisciplinary Researc	1.66671928674e+12	0.000140079204809
Stanford University School of Medicine	1.66334187042e+12	0.000139795350295
THE CHINESE UNIVERSITY OF HONG KONG	1.662006978e+12	0.000139683159436
Northwest A&F University	1.65868670768e+12	0.00013940410775
OSAKA_FB	1.65687598859e+12	0.000139251926101
Joint Genome Institute	1.65651215411e+12	0.000139221347679
NCI-phs001041	1.6531352755e+12	0.000138937538358
CRITFC	1.6514934965e+12	0.000138799555256
NCI-CGF	1.65083769758e+12	0.000138744438722
University of Liverpool	1.62091598696e+12	0.000136229672459
Massachusetts Institute of Technology	1.6206746413e+12	0.000136209388595
Hangzhou Cancer Hospital	1.61175736306e+12	0.00013545993711
GMI-MPB	1.58698188717e+12	0.000133377685474
SCELSE NTU	1.58614771284e+12	0.000133307577401
MDC	1.58480915431e+12	0.000133195078425
UNIVERISTY OF OXFORD	1.58310970102e+12	0.000133052248094
University of Melbourne	1.58096642855e+12	0.00013287211704
University of calgary in Canada	1.57663501579e+12	0.00013250808402
Institute of Neuroscience, Shanghai Institutes for	1.57566805245e+12	0.000132426815712
National Center for Gene Research, Chinese Academy	1.57420936002e+12	0.000132304220097
Auburn University	1.57122450832e+12	0.000132053358626
The Pirbright Institute	1.55588181954e+12	0.000130763884351
LIPM-INRA-CNRS	1.55231518383e+12	0.000130464126918
Gregor mendel Institute	1.55171063158e+12	0.000130413317404
KRIBB	1.54759080998e+12	0.000130067067535
University of Colorado	1.52958687307e+12	0.000128553929009
NINDS-phs000908	1.52642926003e+12	0.000128288547833
University of North Carolina at Chapel Hill	1.52309079089e+12	0.00012800796663
SUDB-QL	1.52184821148e+12	0.000127903534206
LSHTM	1.51807782745e+12	0.000127586652772
EMBL - Germany	1.51087325003e+12	0.000126981145004
University of Chicago	1.50187628382e+12	0.000126224996154
WTCHG	1.50041440177e+12	0.000126102132468
Philip Morris International R&D	1.49967729182e+12	0.000126040182158
DOE Joint Genome Institute	1.49537461727e+12	0.000125678564437
UC-COE	1.48625178827e+12	0.000124911837466
University of Edinburgh	1.48305475242e+12	0.000124643143005
University of Illinois Urbana-Champaign	1.48055844278e+12	0.000124433340988
New York Genome Center	1.47450869303e+12	0.00012392489056
JMKIDD_LAB	1.47400476518e+12	0.000123882538009
University of Nebraska-Lincoln	1.47343439873e+12	0.000123834601635
Emory University	1.46992243595e+12	0.000123539439182
Novogene	1.4685066361e+12	0.000123420448469
University of Missouri Animal Genomics	1.46600506646e+12	0.000123210204375
KAUST	1.46494169514e+12	0.000123120833472
NCCRI	1.46173564832e+12	0.000122851381685
WUR	1.45960566675e+12	0.000122672367662
McGill University	1.45328693958e+12	0.000122141311062
Institut Pasteur	1.45230887377e+12	0.000122059109649
CRUK-CI University of Cambridge	1.44974105772e+12	0.000121843297885
Fluidigm inc	1.44660412563e+12	0.000121579654836
CNRS	1.44569946294e+12	0.000121503622578
NIH	1.43999442247e+12	0.000121024143197
Washington University in St. Louis	1.4312436288e+12	0.000120288683886
The Rockefeller University	1.42950313108e+12	0.000120142403982
FGC	1.42056711092e+12	0.000119391377335
UNIVERSITY OF CHICAGO	1.41461863786e+12	0.000118891438693
Broad Institutue	1.41244828673e+12	0.000118709031816
WELLCOME TRUST CENTRE FOR HUMAN GENETICS, UNIVERSI	1.41093772075e+12	0.000118582076496
Rutgers University	1.40279986258e+12	0.000117898131268
NIA-phs000101	1.4022386061e+12	0.000117850960541
FZB	1.39773982864e+12	0.000117472861376
Max Planck Institute for Chemical Ecology	1.39608207733e+12	0.000117333535884
MRC Harwell	1.396077374e+12	0.000117333140594
University of Texas at Austin	1.39572088838e+12	0.000117303179806
china agriculture university	1.38744538808e+12	0.000116607666464
MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	1.38645558696e+12	0.000116524478758
University of Queensland	1.3813576282e+12	0.00011609602148
UT-GALS	1.37990629596e+12	0.000115974044451
UNIVERSITY OF ABERDEEN	1.37270624092e+12	0.000115368916766
Peking University, China	1.3717587836e+12	0.000115289287839
PMI	1.37150395276e+12	0.000115267870614
10X Genomics	1.37024527478e+12	0.000115162085188
University of Exeter	1.36601717029e+12	0.000114806734698
EMBL EBI	1.34631017756e+12	0.000113150463067
Shanghai Ruijin Hospital	1.3420099134e+12	0.000112789047928
Stanford-phs000886	1.3342229781e+12	0.000112134595967
UNIVERSITY OF GOTHENBURG	1.32515472847e+12	0.000111372456112
ZHEJIANG UNIVERSITY, HANGZHOU, P. R. CHINA	1.32076129986e+12	0.000111003210977
Cornell university	1.3158114533e+12	0.00011058720177
Yale University	1.30581938273e+12	0.000109747419504
University of Geneva	1.30054735768e+12	0.000109304332846
UC Irvine	1.30003036865e+12	0.000109260882571
USDA	1.29683211894e+12	0.000108992086092
MD Anderson Cancer Center	1.28612461445e+12	0.000108092175275
ETH Zurich	1.28542128956e+12	0.000108033064427
Helmholtz Zentrum Munich	1.28526243556e+12	0.000108019713563
BioCI	1.28013995646e+12	0.000107589195476
BAYLOR COLLEGE OF ME	1.27993728114e+12	0.000107572161655
Woods Hole Oceanographic Institution	1.27578252933e+12	0.000107222976082
Georgia Institute of Technology	1.26938070937e+12	0.000106684935959
MPIPZ	1.26673549018e+12	0.000106462618858
University of California Davis	1.26540224308e+12	0.00010635056628
Kunming Institute of Zoology Chinese Academy of Sc	1.26137655765e+12	0.000106012228073
Institute of Zoology	1.26038047302e+12	0.00010592851227
NICHD-phs000783	1.25753804095e+12	0.000105689620438
University Medical Center Utrecht	1.25476718441e+12	0.000105456744162
Seoul National University College of Medicine	1.25425594674e+12	0.000105413777259
University of South Carolina	1.25133873863e+12	0.000105168600884
Institute of Crop Science	1.25053752078e+12	0.000105101262635
Wroclaw University of Environmental and Life Scien	1.24838749422e+12	0.000104920563933
UT Southwestern Medical Center	1.2376450353e+12	0.000104017715376
UCSD-phs000834	1.23402121629e+12	0.000103713151981
China Agricultural University, College of Agricult	1.22357072466e+12	0.000102834841776
NIAID	1.22330182212e+12	0.000102812241897
Centre for Genomic Research, and NIHR HPRU in Emer	1.22328264023e+12	0.000102810629758
UNC-phs000627	1.20592472104e+12	0.000101351785706
Genome Institrute of Singapore	1.19673581397e+12	0.000100579505212
University of Helsinki	1.19575586374e+12	0.000100497145423
UCSD-phs000767	1.19547802948e+12	0.000100473794878
University of Zurich	1.1912884503e+12	0.000100121682243
PacBio	1.18800184457e+12	9.98454598938e-05
HPGL-UMD	1.18679917905e+12	9.97443820269e-05
University of Lausanne	1.18588215095e+12	9.96673105203e-05
SIBS	1.18579986134e+12	9.96603945006e-05
University of Kentucky	1.18111017434e+12	9.92662503691e-05
UCSF	1.18006869842e+12	9.9178719662e-05
USDA/ARS	1.17940176409e+12	9.9122667253e-05
Institut Bergonie	1.17472721306e+12	9.87297952223e-05
KYOTO_SC	1.16873575561e+12	9.82262439632e-05
