#Position (bp)	Coverage
2.8569510915E9	2.379739723727738E-5
2.8646830295E9	1.7848047927958036E-5
2.8717752605E9	7.128993243574143E-6
2.8756412295E9	0.0
2.8801469055E9	1.189869861863869E-5
2.8878788435E9	2.9746746546596727E-5
2.8956107815E9	0.0
2.9033427195E9	1.189869861863869E-5
2.9110746575E9	1.189869861863869E-5
2.9188065955E9	2.379739723727738E-5
2.9265385335E9	5.949349309319345E-6
2.9342704715E9	5.949349309319345E-6
2.9420024095E9	0.0
2.9497343475E9	0.0
2.9574662855E9	5.949349309319345E-6
2.9651982235E9	0.0
2.9729301615E9	0.0
2.9806620995E9	0.0
2.9883940375E9	0.0
2.9961259755E9	5.949349309319345E-6
3.0038579135E9	0.0
3.0115898515E9	0.0
3.0193217895E9	5.949349309319345E-6
3.0270537275E9	5.949349309319345E-6
3.030981057E9	0.0
3.034847026E9	0.0
3.0425176035E9	4.526678822308198E-6
3.0502495415E9	0.0
3.0579814795E9	0.0
3.0657134175E9	0.0
3.0734453555E9	0.0
3.0811772935E9	0.0
3.0866565475E9	0.0
3.088278117E9	0.0027762689359647533
3.0883778495E9	0.0
3.088551417E9	0.0
3.0887023955E9	0.0
3.0888595585E9	0.0
3.089028436E9	0.0
3.0891986085E9	0.0
3.0893691085E9	0.0
3.089539856E9	2.559921644137501E-4
3.0896372065E9	0.0
3.0896458475E9	0.0
3.0896479555E9	0.0
3.089650009E9	0.0
3.0896518275E9	0.0
3.089653164E9	0.0
3.089659964E9	0.0
3.0896666625E9	0.0
3.0896682995E9	0.0
3.0896701595E9	0.0
3.0896897265E9	0.0
3.0897107795E9	0.0
3.0897237255E9	0.0
3.0897349835E9	0.0
3.0897363295E9	0.0
3.089738505E9	0.0
3.0897405385E9	0.0
3.0897417465E9	0.0
3.0897427835E9	0.0
3.089743857E9	0.0
3.0897451315E9	0.0
3.0897465595E9	0.0
3.0897490385E9	0.0
3.089751705E9	0.0
3.089754034E9	0.0
3.0897596215E9	0.0
3.089765184E9	0.0
3.0897674115E9	0.0
3.089768962E9	0.0
3.0897710155E9	0.0
3.0897735325E9	0.0
3.0897752895E9	0.0
